res,H_norm_0,H_norm_1,time
0.030316609360603278,1.1295901e7,44787.02924224445,1453.462000131607
0.03019270502052421,1.1283311e7,44786.80448568054,1457.8460001945496
0.030069870732248923,1.1270795e7,44786.58429256568,1462.6110000610352
0.029947750224587545,1.1258125e7,44786.365100551884,1467.1610000133514
0.029826472382537838,1.1245923e7,44786.14630913962,1471.2180001735687
0.029706494566525122,1.1232125e7,44785.92895002432,1475.114000082016
0.02958655108545366,1.1219828e7,44785.71223432993,1478.9950001239777
0.02946692593687241,1.1207388e7,44785.49750420936,1482.9550001621246
0.029348706829226738,1.1195384e7,44785.282597558355,1487.1579999923706
0.029230862587194047,1.1183342e7,44785.06792247286,1491.5950000286102
0.029114686220325998,1.1171542e7,44784.85482652564,1495.888000011444
0.028998720473716256,1.115967e7,44784.64079051455,1499.9610002040863
0.028883012596698236,1.1148458e7,44784.427475636185,1503.7940001487732
0.028768271170371697,1.1136215e7,44784.21537968018,1507.6910002231598
0.028654475377687335,1.1124883e7,44784.00796825347,1511.6349999904633
0.028541490649631834,1.1113679e7,44783.80369183299,1516.0920000076294
0.02842869034998852,1.1102243e7,44783.600483161856,1520.2420001029968
0.02831668782802593,1.1091203e7,44783.399822469815,1524.922000169754
0.028205235196110522,1.1080709e7,44783.201680984406,1529.3670001029968
0.028094605246605998,1.1070051e7,44783.004560852474,1533.6750001907349
0.027984807236193628,1.105975e7,44782.8096460633,1537.723000049591
0.02787570769774017,1.1049116e7,44782.61582508978,1542.058000087738
0.02776714213972098,1.1038661e7,44782.42515306497,1546.3390002250671
0.027659698659109933,1.1028148e7,44782.234984877716,1550.6530001163483
0.02755338443194949,1.1017472e7,44782.04610681323,1554.9350001811981
0.027447112528965277,1.100793e7,44781.85681875958,1559.4240000247955
0.0273415226678928,1.0997739e7,44781.66726918284,1563.8900001049042
0.027237157925446547,1.0988318e7,44781.47785617869,1568.0830001831055
0.02713360116630852,1.0979258e7,44781.290347985894,1571.9460000991821
0.027030488706594354,1.0970158e7,44781.102110446736,1576.3170001506805
0.02692785602607029,1.0960577e7,44780.91499755334,1580.4680001735687
0.026825721414775083,1.0951302e7,44780.72947641024,1584.7860000133514
0.02672435275445254,1.0942125e7,44780.54491334199,1589.1980001926422
0.02662406853851826,1.0932923e7,44780.35980474568,1593.4930000305176
0.026524067571014883,1.0923884e7,44780.17697702302,1597.4680001735687
0.026424744683039174,1.0915202e7,44779.99512416103,1601.3710000514984
0.02632596621130791,1.0906125e7,44779.813017945795,1605.3040001392365
0.026227800654461085,1.0897219e7,44779.63301029072,1609.2250001430511
0.026130159666892333,1.0888813e7,44779.45284897815,1613.6550002098083
0.026033582302196066,1.0881016e7,44779.27423481925,1617.6960000991821
0.025937112503490158,1.0872576e7,44779.09610604986,1621.4690001010895
0.025841436979569234,1.0864134e7,44778.9184361101,1625.5770001411438
0.025746499770528314,1.0856063e7,44778.741542604344,1629.5620000362396
0.02565207327912092,1.0847535e7,44778.56755632575,1633.4860000610352
0.02555809232319637,1.0839631e7,44778.39608001064,1637.353000164032
0.025464874036164566,1.0831298e7,44778.227719499504,1641.2760000228882
0.02537199502051647,1.0823326e7,44778.06152520699,1645.5150001049042
0.02527996193972848,1.0815481e7,44777.89575017406,1649.5400002002716
0.02518841828898859,1.0807656e7,44777.73076876565,1653.888000011444
0.025097304455273,1.0800504e7,44777.56467932063,1658.223000049591
0.025006651717327296,1.079333e7,44777.39658377293,1662.172000169754
0.024916954574333607,1.0785851e7,44777.23119864813,1666.8550000190735
0.024827511592473452,1.0778669e7,44777.0690661473,1671.0280001163483
0.02473872437040328,1.0770702e7,44776.9092833924,1675.364000082016
0.024649975024603896,1.0763294e7,44776.750465024845,1679.6960000991821
0.024562039371596473,1.0756263e7,44776.59413092133,1683.9300000667572
0.024474399158412114,1.0748972e7,44776.43625323598,1688.6910002231598
0.024388073404135936,1.0741751e7,44776.27913953852,1693.1790001392365
0.024302197967375094,1.0734354e7,44776.12204006029,1697.7490000724792
0.024216894012151977,1.072748e7,44775.965600796364,1702.625
0.024132141756330407,1.0721377e7,44775.809294308674,1706.6920001506805
0.02404802338217591,1.0715013e7,44775.65372023624,1710.547000169754
0.023963673806917038,1.0708917e7,44775.49904092059,1714.797000169754
0.02388012199146621,1.0703045e7,44775.34537548604,1719.228000164032
0.023796887871486483,1.0696507e7,44775.19347026885,1723.8380000591278
0.02371403906427798,1.0690509e7,44775.04478624922,1728.1790001392365
0.023631391417275483,1.068445e7,44774.89675436279,1732.7880001068115
0.02354958591728645,1.0678501e7,44774.75047724556,1737.1460001468658
0.02346742631006457,1.0672418e7,44774.60419198559,1741.739000082016
0.023386135512628258,1.066637e7,44774.45659763918,1746.1180000305176
0.023305863308558546,1.0660368e7,44774.310524387394,1750.3070001602173
0.023226067982774098,1.0654846e7,44774.16541434567,1754.489000082016
0.0231468250529853,1.0648773e7,44774.02126040125,1758.5329999923706
0.02306786211965448,1.0643191e7,44773.87667673536,1762.433000087738
0.022989250051726053,1.0637445e7,44773.73423364516,1766.5360000133514
0.022910982107350646,1.0631694e7,44773.59330483579,1770.9790000915527
0.022832969899373775,1.0625916e7,44773.45213022485,1775.335000038147
0.02275553504668994,1.0620517e7,44773.31060144534,1779.4630000591278
0.022678764238218057,1.061564e7,44773.169965114525,1783.3230001926422
0.022602140213068892,1.0610411e7,44773.029436626326,1788.0920000076294
0.022525986599071863,1.0605294e7,44772.8895244874,1792.9390001296997
0.02245055979968734,1.0599662e7,44772.75192013003,1797.6950001716614
0.02237572377303543,1.059401e7,44772.6163365002,1802.8450000286102
0.022301231938444202,1.0589186e7,44772.481786727425,1807.156000137329
0.0222269140111458,1.0583853e7,44772.347256156245,1811.1370000839233
0.022153026360450977,1.0579097e7,44772.21206533753,1815.143000125885
0.022079586375754613,1.0574276e7,44772.07660124594,1819.4539999961853
0.022006582263770634,1.0569517e7,44771.94159030446,1823.5240001678467
0.0219340350050421,1.0564625e7,44771.806252886694,1827.4820001125336
0.021862100819834408,1.0559692e7,44771.671222823024,1831.5260000228882
0.021790455571893397,1.0555392e7,44771.53786670888,1836.076000213623
0.021719044602893454,1.0550522e7,44771.40479593241,1840.0440001487732
