pri_res,dual_res,H_norm_0,H_norm_1,time
0.13058848341391524,0.06739124324171394,1.9775527e7,44937.2684660486,5738.130000114441
0.13051813150206562,0.06734922115803162,1.9773551e7,44937.16523815875,5740.391000032425
0.13044546356601883,0.06731841620250473,1.9770591e7,44937.0632939742,5742.676000118256
0.13037320784101064,0.06729521029172963,1.9768273e7,44936.95908550981,5745.161000013351
0.13030154988750978,0.06726518501446177,1.9765292e7,44936.854682219615,5747.920000076294
0.13023056852047246,0.06722611258830927,1.9762479e7,44936.75363350233,5750.401999950409
0.13015871157306833,0.06719769153569186,1.9759899e7,44936.6509809474,5752.822999954224
0.13008563500294787,0.067171950169992,1.9757079e7,44936.54917842551,5755.282999992371
0.1300120522763487,0.06715502708054186,1.9753947e7,44936.442689327836,5757.756000041962
0.1299371277367978,0.06714269198893004,1.9751762e7,44936.33791827275,5760.28200006485
0.1298628331477605,0.06713260207971439,1.9749292e7,44936.23188419859,5762.766000032425
0.12978761760229113,0.06711854446389953,1.9745986e7,44936.12606690804,5765.186000108719
0.12971245161914444,0.06710266505065124,1.9744493e7,44936.02121379742,5767.657999992371
0.12963924383952496,0.06707701280217873,1.9741648e7,44935.91748653314,5769.949000120163
0.12956709042961728,0.06704952837118316,1.9740049e7,44935.81214135731,5772.240000009537
0.1294949970072848,0.06702013661135701,1.9737928e7,44935.707382847235,5774.4619998931885
0.1294250984708766,0.06697496527375303,1.9735353e7,44935.60739444344,5776.7590000629425
0.1293545080600478,0.0669339830228336,1.9732296e7,44935.50571944876,5779.121000051498
0.12928316048488056,0.066900239522501,1.9730001e7,44935.40054899673,5781.427000045776
0.1292120102130696,0.0668692157966995,1.9728258e7,44935.295319811026,5783.857000112534
0.12914002114010129,0.06684078425054193,1.9725489e7,44935.18968375565,5786.470999956131
0.1290680374135624,0.06681327245192176,1.9722647e7,44935.08656258878,5788.789999961853
0.1289955931695256,0.06678523310782628,1.9719477e7,44934.98323113826,5791.071000099182
0.12892437268939053,0.06675317493305315,1.9716409e7,44934.884084170604,5793.2809998989105
0.12885250449120006,0.06672144777039642,1.9713679e7,44934.787164450456,5795.476000070572
0.12877975344848838,0.06668581456971102,1.97118e7,44934.690951767414,5797.674999952316
0.12870844630860712,0.0666515425556817,1.9710328e7,44934.59288979019,5800.3840000629425
0.12863695591583615,0.06660839326115675,1.970857e7,44934.498570311815,5802.959000110626
0.12856594274888355,0.06656472444094909,1.970602e7,44934.40579443491,5805.398999929428
0.12849522973733515,0.06652085400883859,1.9703424e7,44934.30902182942,5807.742000102997
0.1284226233520856,0.06649320298215959,1.9702157e7,44934.21122917335,5810.378000020981
0.12835120873169586,0.06645492139996796,1.9699736e7,44934.11127377,5812.684000015259
0.12828018381998302,0.06641938336952194,1.9697153e7,44934.01369398376,5814.90499997139
0.12820993206380962,0.06638168441725871,1.96947e7,44933.91152157007,5817.170000076294
0.12813956017092207,0.06633822868744242,1.9692626e7,44933.81134183975,5819.4059998989105
0.1280694529176719,0.06629539261621963,1.9689998e7,44933.70972298096,5821.6849999427795
