pri_res,dual_res,H_norm_0,H_norm_1,time
1.1265575588177765,2.4371358721987893e-11,2.3470385e7,45908.6560242742,279.1160001754761
1.0861332192553363,2.4459584060623845e-11,2.3427725e7,45869.501563124715,288.625
1.0480725915532616,2.454390690946624e-11,2.3386494e7,45832.591375577875,297.9300000667572
1.0122870361340885,2.46237798712929e-11,2.3346722e7,45797.64782151652,306.70800018310547
0.978610251295095,2.4701077815998353e-11,2.3304068e7,45764.60906199059,315.72500014305115
0.9468061922176623,2.4775058520525965e-11,2.3260956e7,45733.43705925478,325.5770001411438
0.916784476107416,2.4844265245026014e-11,2.3219234e7,45703.972037649364,335.32600021362305
0.8885730540944099,2.49145368921113e-11,2.3178127e7,45676.03392227451,344.41100001335144
0.8618824591216506,2.4976409518151987e-11,2.3135798e7,45649.39982808405,353.9150002002716
0.8364678599072979,2.5040815408430842e-11,2.3093447e7,45624.03680652558,362.94000005722046
0.8122711719127926,2.5098933782274755e-11,2.3051298e7,45599.787472789816,372.0240001678467
0.7892055283896473,2.5156136940847154e-11,2.3006657e7,45576.67808804302,382.2260000705719
0.7673664416205489,2.5211176393193438e-11,2.2962217e7,45554.64692525889,391.97100019454956
0.7464389689669615,2.52662884744805e-11,2.2919454e7,45533.46113936944,401.40500020980835
0.7265134442441771,2.5317632158663506e-11,2.2876858e7,45513.07879877857,410.8800001144409
0.7073709092474019,2.5367912442248908e-11,2.283602e7,45493.50706899784,420.2240002155304
0.6888810268489712,2.5416471182786933e-11,2.2788108e7,45474.74774931728,429.8880000114441
0.6712570168320995,2.546378301463906e-11,2.2743518e7,45456.757973426626,439.4320001602173
0.6545248504564012,2.550631245884068e-11,2.2699446e7,45439.59263996198,449.4390001296997
0.6385113222074422,2.555368920139841e-11,2.2654866e7,45423.1567737101,458.51700019836426
0.6231013474492384,2.5595838933383668e-11,2.2610482e7,45407.37918297286,467.8090000152588
0.6082946275107425,2.563670212021733e-11,2.2566386e7,45392.17279087366,477.257000207901
0.5940269225620233,2.5677101700681483e-11,2.2520706e7,45377.55935362206,486.9930000305176
0.5803493557477798,2.5715588428722285e-11,2.247644e7,45363.71606611544,496.3840000629425
0.5672774155851211,2.5753838241756437e-11,2.2429335e7,45350.48181296461,505.70700001716614
0.5547419915294746,2.5791895363049733e-11,2.2383233e7,45337.85572593377,515.3389999866486
0.5426593020459745,2.5828587556039152e-11,2.2340483e7,45325.732611378546,525.0030000209808
0.5310553478170384,2.5862341875355533e-11,2.2293723e7,45313.88941282787,534.0970001220703
0.519873892328488,2.589598798101125e-11,2.224872e7,45302.435623405094,542.9480001926422
0.5090980798993071,2.592724024477439e-11,2.2202626e7,45291.36792712639,552.0889999866486
0.4987199019849635,2.5958043812429857e-11,2.2157833e7,45280.63552899007,561.8740000724792
0.4887206268115286,2.598939888983603e-11,2.2111041e7,45270.20599227557,570.6040000915527
0.4790246848835239,2.6021180098655502e-11,2.2064903e7,45260.037152365796,580.0250000953674
0.4696230355215041,2.6049735553272883e-11,2.2018027e7,45250.23801734225,589.7000000476837
0.46055186597832726,2.6078738967975998e-11,2.1970121e7,45240.73839903364,599.3680000305176
0.4517865777215593,2.6105860071482314e-11,2.192354e7,45231.58931205195,608.2180001735687
0.44331191122879543,2.6134162617468843e-11,2.1877878e7,45222.77981835893,616.7540001869202
0.4350901660781094,2.6159424854363778e-11,2.1831117e7,45214.182125096806,625.4730000495911
0.42708993766562453,2.6183160089976476e-11,2.1784442e7,45205.80561331974,634.3840000629425
0.41934373576410644,2.6207761526520476e-11,2.1738359e7,45197.667532589214,643.5210001468658
0.4118372010301163,2.623340846270178e-11,2.1692054e7,45189.75927844321,653.1449999809265
0.4045394647977594,2.6257777308206757e-11,2.1641865e7,45182.01042591627,662.6110000610352
0.39743656042843534,2.6282327399326692e-11,2.1594834e7,45174.48996344518,671.3020000457764
